	X	Y	method	alternative	n	r	CI95%	p-unc	BF10	power
25	total_breaks	comp_mg1	pearson	two-sided	47	0.3169509408912302	[0.03 0.55]	0.029953597936159426	1.788	0.5938478160618378
26	total_breaks	comp_gmd4	pearson	two-sided	47	0.38249605265876535	[0.11 0.6 ]	0.007968850405792092	5.528	0.7696890378596147
27	total_breaks	comp_co5	pearson	two-sided	47	0.3517610486528738	[0.07 0.58]	0.015322529887140045	3.148	0.6914443681185561
28	total_breaks	comp_co6	pearson	two-sided	47	0.37083783962041594	[0.09 0.59]	0.010285081032493142	4.432	0.7411404722742668
29	total_breaks	sbst	pearson	two-sided	42	-0.016557828810547848	[-0.32  0.29]	0.9171093092849688	0.193	0.050878001459974516
30	total_breaks	sri	pearson	two-sided	44	0.022077973818642585	[-0.28  0.32]	0.8868825954655967	0.19	0.051980678501470215
31	total_breaks	gender_number	pearson	two-sided	44	-0.12180606003735775	[-0.4   0.18]	0.4309018807249038	0.254	0.1239032175270649
32	total_breaks	hand_number	pearson	two-sided	44	-0.038818603023435094	[-0.33  0.26]	0.8024520907206446	0.194	0.05689373467826943
33	total_breaks	math_efficacy	pearson	two-sided	47	0.20480272411833902	[-0.09  0.46]	0.16729836939951673	0.459	0.284711825171102
34	total_breaks	math_anxiety	pearson	two-sided	47	0.20480272411833902	[-0.09  0.46]	0.16729836939951673	0.459	0.284711825171102
35	total_breaks	enjoyment	pearson	two-sided	47	0.1591018767705769	[-0.13  0.43]	0.2854309118909614	0.316	0.18874036810905515
36	total_submit	total_snapshot	pearson	two-sided	47	0.5497375360997153	[0.31 0.72]	6.270227424813424e-05	428.531	0.9852294723039338
37	total_submit	total_view	pearson	two-sided	47	0.5661894287002974	[0.33 0.73]	3.35265011672473e-05	761.571	0.9902505576669466
38	total_submit	total_manipulate	pearson	two-sided	47	0.8788354147973487	[0.79 0.93]	4.621463254119923e-16	1.292e+13	0.9999999999996814
39	total_submit	n_puzzle	pearson	two-sided	47	0.7389821123764521	[0.57 0.85]	3.0104250559581398e-09	4.547e+06	0.9999940747336975
40	total_submit	p_puz_no_basic	pearson	two-sided	47	0.7304378134087179	[0.56 0.84]	5.622462903565265e-09	2.526e+06	0.9999896191866304
41	total_submit	n_complete	pearson	two-sided	47	0.5524289914904367	[0.32 0.72]	5.672535846726204e-05	469.77	0.9861681866392564
42	total_submit	n_tutorial	pearson	two-sided	47	0.5201894406463949	[0.27 0.7 ]	0.00017838650289794244	164.788	0.9712444120548674
43	total_submit	complete_active	pearson	two-sided	47	0.7483612665054397	[0.59 0.85]	1.4740587728989629e-09	8.908e+06	0.9999969110276288
44	total_submit	incomplete_active	pearson	two-sided	47	0.8897447811428169	[0.81 0.94]	6.227409282612997e-17	8.693e+13	0.9999999999999737
45	total_submit	tutorial_atime_comp	pearson	two-sided	47	0.6788766564125052	[0.49 0.81]	1.5629263275833128e-07	1.115e+05	0.9998228662135766
46	total_submit	cumu_a_time	pearson	two-sided	47	0.08164183223599741	[-0.21  0.36]	0.5853762058015541	0.21	0.08466545692706676
47	total_submit	persistence_score	pearson	two-sided	47	0.06807535209893097	[-0.22  0.35]	0.6493524059382377	0.201	0.0738375724970831
48	total_submit	non_per	pearson	two-sided	47	0.28214263406196977	[-0.01  0.53]	0.05467816859469859	1.09	0.49255223984842245
49	total_submit	productive	pearson	two-sided	47	0.22010262005746575	[-0.07  0.48]	0.1371167619916352	0.531	0.3220651440402205
50	total_submit	unproductive	pearson	two-sided	47	0.07558873708935196	[-0.22  0.36]	0.6135731947394087	0.206	0.0795753459972807
51	total_submit	rapid	pearson	two-sided	47	-0.18693815500716088	[-0.45  0.11]	0.20831959925388074	0.392	0.2442735196386353
52	total_submit	no_beh	pearson	two-sided	47	-0.3056884805102897	[-0.55 -0.02]	0.03665634242104511	1.512	0.5611688317875838
53	total_submit	avg_revisit	pearson	two-sided	47	0.5918284778713038	[0.37 0.75]	1.1792028975754237e-05	1996.077	0.9952512509040615
54	total_submit	n_attempt	pearson	two-sided	47	0.7916388279962274	[0.65 0.88]	3.471844534512561e-11	3.066e+08	0.9999999154017823
55	total_submit	n_failed_att	pearson	two-sided	47	0.7638688293793228	[0.61 0.86]	4.2166838725727347e-10	2.899e+07	0.9999990395501233
56	total_submit	revisits	pearson	two-sided	47	0.6751692613744263	[0.48 0.81]	1.9350153614986688e-07	9.134e+04	0.9997893173614809
57	total_submit	diff_event1	pearson	two-sided	47	0.5951226088383903	[0.37 0.75]	1.0243419765656223e-05	2273.536	0.9957002199460409
58	total_submit	different_event	pearson	two-sided	47	0.7897167186100953	[0.65 0.88]	4.176267422549467e-11	2.575e+08	0.9999998982919626
59	total_submit	comp_average	pearson	two-sided	47	0.40333166571025414	[0.13 0.62]	0.004936514720004028	8.396	0.8166773040029274
60	total_submit	comp_mg1	pearson	two-sided	47	0.47059037170401746	[0.21 0.67]	0.0008435182805047909	40.373	0.9277936142320946
61	total_submit	comp_gmd4	pearson	two-sided	47	0.37302867759778785	[0.1 0.6]	0.00981023587453628	4.617	0.7466191044780947
62	total_submit	comp_co5	pearson	two-sided	47	0.3627663210254826	[0.08 0.59]	0.012208941435396442	3.824	0.7205315244653845
63	total_submit	comp_co6	pearson	two-sided	47	0.36941606893283113	[0.09 0.59]	0.010603699393087114	4.317	0.7375580811361894
64	total_submit	sbst	pearson	two-sided	42	-0.01172199961763781	[-0.31  0.29]	0.9412673116025664	0.193	0.05025405662511383
65	total_submit	sri	pearson	two-sided	44	-0.11216978183143687	[-0.4   0.19]	0.46849941855658633	0.242	0.11225882160687131
66	total_submit	gender_number	pearson	two-sided	44	-0.12584681257783395	[-0.41  0.18]	0.415653455127462	0.259	0.12910429552130603
67	total_submit	hand_number	pearson	two-sided	44	-0.028316588562482252	[-0.32  0.27]	0.8552216357612575	0.191	0.05349208803967237
68	total_submit	math_efficacy	pearson	two-sided	47	0.21366218819332564	[-0.08  0.47]	0.1492844674820472	0.499	0.3060526100266791
69	total_submit	math_anxiety	pearson	two-sided	47	0.21366218819332564	[-0.08  0.47]	0.1492844674820472	0.499	0.3060526100266791
70	total_submit	enjoyment	pearson	two-sided	47	0.20594894546450546	[-0.09  0.47]	0.16488282808817664	0.464	0.2874265811103087
71	total_snapshot	total_view	pearson	two-sided	47	0.8785557674760219	[0.79 0.93]	4.852691453836107e-16	1.234e+13	0.9999999999996617
72	total_snapshot	total_manipulate	pearson	two-sided	47	0.8021863278869089	[0.67 0.89]	1.2159708956019083e-11	8.271e+08	0.9999999706736861
73	total_snapshot	n_puzzle	pearson	two-sided	47	0.5287408187138194	[0.28 0.71]	0.00013312192347335076	215.197	0.9760508620659306
74	total_snapshot	p_puz_no_basic	pearson	two-sided	47	0.5347312490976709	[0.29 0.71]	0.00010793430170357686	260.638	0.9790293595996082
75	total_snapshot	n_complete	pearson	two-sided	47	0.5885436331383084	[0.36 0.75]	1.354859094194632e-05	1755.733	0.9947654070637465
76	total_snapshot	n_tutorial	pearson	two-sided	47	0.3945931382925001	[0.12 0.61]	0.00605663530421602	7.02	0.7976360136484454
77	total_snapshot	complete_active	pearson	two-sided	47	0.7587179189025698	[0.6  0.86]	6.456472377844518e-10	1.94e+07	0.9999985651471301
78	total_snapshot	incomplete_active	pearson	two-sided	47	0.5482039023455847	[0.31 0.72]	6.636015853719701e-05	406.824	0.9846723309959404
79	total_snapshot	tutorial_atime_comp	pearson	two-sided	47	0.3692719695831088	[0.09 0.59]	0.01063646025239282	4.306	0.737193829554285
80	total_snapshot	cumu_a_time	pearson	two-sided	47	0.1795282348167009	[-0.11  0.44]	0.22724683409781837	0.369	0.228576465635934
81	total_snapshot	persistence_score	pearson	two-sided	47	0.24655033759082934	[-0.04  0.5 ]	0.09479084459769634	0.704	0.39170422236194047
82	total_snapshot	non_per	pearson	two-sided	47	0.015304254891241487	[-0.27  0.3 ]	0.9186762492047471	0.183	0.05086851052431143
83	total_snapshot	productive	pearson	two-sided	47	0.3885272837406976	[0.11 0.61]	0.006958651960386711	6.22	0.7838458256052222
84	total_snapshot	unproductive	pearson	two-sided	47	0.08171382496668805	[-0.21  0.36]	0.5850443710506051	0.21	0.0847285315562224
85	total_snapshot	rapid	pearson	two-sided	47	-0.16411665366347025	[-0.43  0.13]	0.27032044292983254	0.328	0.1980454375238705
86	total_snapshot	no_beh	pearson	two-sided	47	-0.32972074986471367	[-0.56 -0.05]	0.023618049914449258	2.181	0.6304172861737055
87	total_snapshot	avg_revisit	pearson	two-sided	47	0.5756051871969995	[0.35 0.74]	2.307552009864707e-05	1074.216	0.9924337217376561
88	total_snapshot	n_attempt	pearson	two-sided	47	0.7470873757956044	[0.59 0.85]	1.627132513017349e-09	8.116e+06	0.9999966174661051
89	total_snapshot	n_failed_att	pearson	two-sided	47	0.7064650297749218	[0.53 0.83]	2.8808813771796152e-08	5.441e+05	0.9999568100716852
90	total_snapshot	revisits	pearson	two-sided	47	0.7207945754522385	[0.55 0.84]	1.1069361646734513e-08	1.336e+06	0.9999811166320746
91	total_snapshot	diff_event1	pearson	two-sided	47	0.4415363954509346	[0.18 0.65]	0.001890761587853357	19.609	0.8876415478150195
92	total_snapshot	different_event	pearson	two-sided	47	0.6922527828592454	[0.51 0.82]	7.04615406604367e-08	2.352e+05	0.9999081338851126
93	total_snapshot	comp_average	pearson	two-sided	47	0.5140949750626932	[0.27 0.7 ]	0.00021873238569932704	136.873	0.9673924793830486
94	total_snapshot	comp_mg1	pearson	two-sided	47	0.4378757516500305	[0.17 0.64]	0.0020829091974224503	17.991	0.8817370270469398
95	total_snapshot	comp_gmd4	pearson	two-sided	47	0.5362636435467222	[0.29 0.71]	0.00010223076945995885	273.899	0.979742735661155
96	total_snapshot	comp_co5	pearson	two-sided	47	0.5037567940421034	[0.25 0.69]	0.00030645140376224403	100.757	0.9599828915623931
97	total_snapshot	comp_co6	pearson	two-sided	47	0.5117752379114511	[0.26 0.7 ]	0.00023614657643491498	127.663	0.9658280457477781
98	total_snapshot	sbst	pearson	two-sided	42	0.2038290863975587	[-0.11  0.48]	0.19540976242982486	0.432	0.25624397006460725
99	total_snapshot	sri	pearson	two-sided	44	0.22907000000508743	[-0.07  0.49]	0.13473086713368929	0.555	0.3256378470751248
100	total_snapshot	gender_number	pearson	two-sided	44	-0.17833044789524205	[-0.45  0.13]	0.24679519956046714	0.36	0.21402589960544602
101	total_snapshot	hand_number	pearson	two-sided	44	-0.24248070803558194	[-0.5   0.06]	0.1127617135690963	0.635	0.3593140385361676
102	total_snapshot	math_efficacy	pearson	two-sided	47	0.3231293595463992	[0.04 0.56]	0.026731441396322476	1.966	0.6116234004185997
103	total_snapshot	math_anxiety	pearson	two-sided	47	0.3231293595463992	[0.04 0.56]	0.026731441396322476	1.966	0.6116234004185997
104	total_snapshot	enjoyment	pearson	two-sided	47	0.3876913743125056	[0.11 0.61]	0.007091664737907202	6.118	0.7819098209801434
105	total_view	total_manipulate	pearson	two-sided	47	0.7544089955898025	[0.6  0.86]	9.14731047170212e-10	1.397e+07	0.9999980133873985
106	total_view	n_puzzle	pearson	two-sided	47	0.5377869504241851	[0.3  0.71]	9.683462269156028e-05	287.824	0.9804329329851613
107	total_view	p_puz_no_basic	pearson	two-sided	47	0.5265801199575495	[0.28 0.71]	0.0001434458995299657	201.017	0.9748997312892163
108	total_view	n_complete	pearson	two-sided	47	0.5900439621948452	[0.36 0.75]	1.2718380271740865e-05	1861.35	0.9949921899681871
109	total_view	n_tutorial	pearson	two-sided	47	0.43912883524523066	[0.17 0.64]	0.0020152719709421486	18.527	0.8837797849325195
110	total_view	complete_active	pearson	two-sided	47	0.6863389990030135	[0.5  0.81]	1.0073087358787085e-07	1.683e+05	0.9998764407493215
111	total_view	incomplete_active	pearson	two-sided	47	0.543807635808817	[0.3  0.72]	7.795301485123936e-05	351.026	0.9829823411104358
112	total_view	tutorial_atime_comp	pearson	two-sided	47	0.33379909410931424	[0.05 0.57]	0.02184841474564439	2.329	0.6419395920658536
113	total_view	cumu_a_time	pearson	two-sided	47	0.1684594461347344	[-0.12  0.43]	0.25767089005354854	0.339	0.20635500691856842
114	total_view	persistence_score	pearson	two-sided	47	0.2554856635558159	[-0.03  0.51]	0.08305101411647109	0.781	0.4164206873047102
115	total_view	non_per	pearson	two-sided	47	0.003073378143357076	[-0.28  0.29]	0.9836423704030196	0.182	0.04971456077620992
116	total_view	productive	pearson	two-sided	47	0.4163318150099427	[0.15 0.63]	0.0036051156634309277	11.069	0.8431180013151084
117	total_view	unproductive	pearson	two-sided	47	0.1314808301277016	[-0.16  0.4 ]	0.37834595193867504	0.265	0.1431248576853375
118	total_view	rapid	pearson	two-sided	47	-0.1689448105974272	[-0.44  0.12]	0.2562822086852671	0.34	0.20729813207303796
119	total_view	no_beh	pearson	two-sided	47	-0.3706976048282725	[-0.59 -0.09]	0.010316137294085318	4.421	0.7407880628737631
120	total_view	avg_revisit	pearson	two-sided	47	0.5878639154812056	[0.36 0.75]	1.3940899952824113e-05	1710.049	0.9946598976840316
121	total_view	n_attempt	pearson	two-sided	47	0.7449279181386192	[0.58 0.85]	1.9212541609826687e-09	6.94e+06	0.999996061374037
122	total_view	n_failed_att	pearson	two-sided	47	0.7032632484308856	[0.52 0.82]	3.539985338349619e-08	4.484e+05	0.9999485251494649
123	total_view	revisits	pearson	two-sided	47	0.7116325258417107	[0.53 0.83]	2.053973199238716e-08	7.474e+05	0.9999676911963651
124	total_view	diff_event1	pearson	two-sided	47	0.5086457553566007	[0.26 0.69]	0.0002616297926271997	116.311	0.9636287308453559
125	total_view	different_event	pearson	two-sided	47	0.69547151545168	[0.51 0.82]	5.779992405030825e-08	2.831e+05	0.9999221506109527
126	total_view	comp_average	pearson	two-sided	47	0.4949115737969332	[0.24 0.68]	0.00040552595900517817	78.168	0.9527070243888213
127	total_view	comp_mg1	pearson	two-sided	47	0.46588452458422286	[0.21 0.66]	0.0009659955714828325	35.744	0.9220845355514158
128	total_view	comp_gmd4	pearson	two-sided	47	0.5002078397201095	[0.25 0.69]	0.0003432183918471129	90.918	0.9571709698295588
129	total_view	comp_co5	pearson	two-sided	47	0.4749943110639873	[0.22 0.67]	0.0007416979677190269	45.325	0.9328675626101663
130	total_view	comp_co6	pearson	two-sided	47	0.47950401075739646	[0.22 0.67]	0.0006489933832733986	51.117	0.9377989429760605
131	total_view	sbst	pearson	two-sided	42	0.12400669687640764	[-0.19  0.41]	0.433962398269506	0.258	0.1229105154873275
132	total_view	sri	pearson	two-sided	44	0.11104927559269501	[-0.19  0.39]	0.47298188159322563	0.241	0.11097372518526485
133	total_view	gender_number	pearson	two-sided	44	-0.152849045045069	[-0.43  0.15]	0.3219132582114591	0.302	0.16875742703496194
134	total_view	hand_number	pearson	two-sided	44	-0.3844643087213565	[-0.61 -0.1 ]	0.009974567541926454	4.672	0.7456048974214471
135	total_view	math_efficacy	pearson	two-sided	47	0.33379111025620006	[0.05 0.57]	0.021851766950171617	2.329	0.6419171236438334
136	total_view	math_anxiety	pearson	two-sided	47	0.33379111025620006	[0.05 0.57]	0.021851766950171617	2.329	0.6419171236438334
137	total_view	enjoyment	pearson	two-sided	47	0.2954141159780364	[0.01 0.54]	0.043803907024231856	1.306	0.5312023341743762
138	total_manipulate	n_puzzle	pearson	two-sided	47	0.7636826071394331	[0.61 0.86]	4.2829327837746104e-10	2.857e+07	0.9999990252724462
139	total_manipulate	p_puz_no_basic	pearson	two-sided	47	0.7624736283988296	[0.61 0.86]	4.737454873122267e-10	2.598e+07	0.9999989277579479
140	total_manipulate	n_complete	pearson	two-sided	47	0.6405127375670889	[0.43 0.78]	1.2413212532959889e-06	1.612e+04	0.9990904272384855
141	total_manipulate	n_tutorial	pearson	two-sided	47	0.5204626127837486	[0.27 0.7 ]	0.0001767475995983947	166.179	0.9714085370531088
142	total_manipulate	complete_active	pearson	two-sided	47	0.8399714278607053	[0.73 0.91]	1.576059167704343e-13	5.08e+10	0.9999999997130535
143	total_manipulate	incomplete_active	pearson	two-sided	47	0.8694259636009959	[0.78 0.93]	2.2437102657107592e-15	2.878e+12	0.9999999999978488
144	total_manipulate	tutorial_atime_comp	pearson	two-sided	47	0.5878762939108912	[0.36 0.75]	1.3933663015972852e-05	1710.869	0.9946618347573135
145	total_manipulate	cumu_a_time	pearson	two-sided	47	0.09779191827547189	[-0.19  0.37]	0.5131473550548317	0.224	0.10033136397688448
146	total_manipulate	persistence_score	pearson	two-sided	47	0.12445670668384184	[-0.17  0.4 ]	0.40456032485145327	0.255	0.1330485320645395
147	total_manipulate	non_per	pearson	two-sided	47	0.255472570135724	[-0.03  0.51]	0.08306734252955543	0.781	0.41638410733132025
148	total_manipulate	productive	pearson	two-sided	47	0.3085066491666242	[0.02 0.55]	0.03487316293073375	1.575	0.5693705772782325
149	total_manipulate	unproductive	pearson	two-sided	47	0.09911924925493494	[-0.19  0.38]	0.5074172947892128	0.225	0.10175599321995547
150	total_manipulate	rapid	pearson	two-sided	47	-0.19840416519502074	[-0.46  0.09]	0.18125583369617904	0.433	0.2698180718115967
151	total_manipulate	no_beh	pearson	two-sided	47	-0.3800198495888893	[-0.6 -0.1]	0.008418960183944337	5.271	0.7637527117118101
152	total_manipulate	avg_revisit	pearson	two-sided	47	0.6239590317139849	[0.41 0.77]	2.7861699917486376e-06	7599.741	0.9983275796236646
153	total_manipulate	n_attempt	pearson	two-sided	47	0.8963873649523195	[0.82 0.94]	1.6532483406643022e-17	3.07e+14	0.9999999999999951
154	total_manipulate	n_failed_att	pearson	two-sided	47	0.8598367078212026	[0.76 0.92]	9.948515398054043e-15	6.994e+11	0.9999999999875612
155	total_manipulate	revisits	pearson	two-sided	47	0.8031579999738745	[0.67 0.89]	1.1004755288784648e-11	9.09e+08	0.9999999735163214
156	total_manipulate	diff_event1	pearson	two-sided	47	0.5925909283577006	[0.37 0.75]	1.1415534195949906e-05	2056.848	0.9953584879811207
157	total_manipulate	different_event	pearson	two-sided	47	0.854706723024565	[0.75 0.92]	2.1109319756435413e-14	3.423e+11	0.9999999999703192
158	total_manipulate	comp_average	pearson	two-sided	47	0.5155934784601942	[0.27 0.7 ]	0.0002081109885992844	143.214	0.9683738705725538
159	total_manipulate	comp_mg1	pearson	two-sided	47	0.49564644010274744	[0.24 0.69]	0.0003963112532046401	79.811	0.9533459169691312
160	total_manipulate	comp_gmd4	pearson	two-sided	47	0.5141899962675375	[0.27 0.7 ]	0.00021804455535803726	137.265	0.9674553859508996
161	total_manipulate	comp_co5	pearson	two-sided	47	0.48876899664478896	[0.23 0.68]	0.0004904415170935764	65.819	0.9471144961287248
162	total_manipulate	comp_co6	pearson	two-sided	47	0.5034288161880168	[0.25 0.69]	0.00030969329415364	99.8	0.9597289379261267
163	total_manipulate	sbst	pearson	two-sided	42	0.13628434221922506	[-0.17  0.42]	0.3894614242786017	0.275	0.1387893651893085
164	total_manipulate	sri	pearson	two-sided	44	0.09931937971680972	[-0.2   0.38]	0.5212413043262182	0.229	0.09837201457093854
165	total_manipulate	gender_number	pearson	two-sided	44	-0.10103717131442574	[-0.39  0.2 ]	0.5140245853286056	0.231	0.10012100488937761
166	total_manipulate	hand_number	pearson	two-sided	44	-0.10333152406539825	[-0.39  0.2 ]	0.5044644072133176	0.233	0.10250841910386016
167	total_manipulate	math_efficacy	pearson	two-sided	47	0.27568844598439635	[-0.01  0.52]	0.060701875082180654	1.002	0.4738744443552045
168	total_manipulate	math_anxiety	pearson	two-sided	47	0.27568844598439635	[-0.01  0.52]	0.060701875082180654	1.002	0.4738744443552045
169	total_manipulate	enjoyment	pearson	two-sided	47	0.30582978636728186	[0.02 0.55]	0.03656517938031915	1.515	0.5615803588428165
170	n_puzzle	p_puz_no_basic	pearson	two-sided	47	0.9790482195823406	[0.96 0.99]	9.538010497280355e-33	1.05e+29	1.0
171	n_puzzle	n_complete	pearson	two-sided	47	0.8422714511470911	[0.73 0.91]	1.1673424196315414e-13	6.754e+10	0.9999999997944612
172	n_puzzle	n_tutorial	pearson	two-sided	47	0.6984417642347788	[0.51 0.82]	4.803421678244111e-08	3.368e+05	0.9999333624751028
173	n_puzzle	complete_active	pearson	two-sided	47	0.7222222516656687	[0.55 0.84]	1.0030844040566003e-08	1.466e+06	0.9999826793169121
174	n_puzzle	incomplete_active	pearson	two-sided	47	0.6628874941876433	[0.46 0.8 ]	3.8434667129887543e-07	4.81e+04	0.9996348556326565
175	n_puzzle	tutorial_atime_comp	pearson	two-sided	47	0.3944717363499995	[0.12 0.61]	0.006073638430588762	7.003	0.7973645403823983
176	n_puzzle	cumu_a_time	pearson	two-sided	47	-0.231630585667058	[-0.49  0.06]	0.11720606533663754	0.598	0.35169976729436536
177	n_puzzle	persistence_score	pearson	two-sided	47	-0.2574990680172007	[-0.51  0.03]	0.08056991093380213	0.8	0.42205738554957306
178	n_puzzle	non_per	pearson	two-sided	47	0.4445833905497207	[0.18 0.65]	0.0017429927599619185	21.083	0.892410271982331
179	n_puzzle	productive	pearson	two-sided	47	0.02713245210105216	[-0.26  0.31]	0.8563400025159331	0.185	0.05345255555722894
180	n_puzzle	unproductive	pearson	two-sided	47	-0.14298393341752588	[-0.41  0.15]	0.3376639714863805	0.284	0.16095938843285953
181	n_puzzle	rapid	pearson	two-sided	47	-0.0840831631622193	[-0.36  0.21]	0.5741708916443564	0.212	0.08683782562410594
182	n_puzzle	no_beh	pearson	two-sided	47	-0.16467095177331834	[-0.43  0.13]	0.26868339927974716	0.329	0.1990930862952437
183	n_puzzle	avg_revisit	pearson	two-sided	47	0.4585456082966197	[0.2  0.66]	0.0011889075241296185	29.673	0.9125771378145678
184	n_puzzle	n_attempt	pearson	two-sided	47	0.7557063591467426	[0.6  0.86]	8.242629628653143e-10	1.541e+07	0.9999981970207922
185	n_puzzle	n_failed_att	pearson	two-sided	47	0.6263867382894609	[0.41 0.77]	2.4819220389380378e-06	8461.676	0.9984654999297443
186	n_puzzle	revisits	pearson	two-sided	47	0.4978926158277565	[0.25 0.69]	0.00036930512205790247	85.079	0.9552595585915049
187	n_puzzle	diff_event1	pearson	two-sided	47	0.6540892118241217	[0.45 0.79]	6.165091863692254e-07	3.095e+04	0.999470321107576
188	n_puzzle	different_event	pearson	two-sided	47	0.9563909562303078	[0.92 0.98]	1.0956016514949543e-25	1.914e+22	1.0
189	n_puzzle	comp_average	pearson	two-sided	47	0.7567608589168687	[0.6  0.86]	7.570047504542868e-10	1.67e+07	0.9999983347222611
190	n_puzzle	comp_mg1	pearson	two-sided	47	0.7531987285037544	[0.59 0.86]	1.0074766462399073e-09	1.275e+07	0.9999978268737255
191	n_puzzle	comp_gmd4	pearson	two-sided	47	0.7258706300448149	[0.55 0.84]	7.77675301826911e-09	1.862e+06	0.9999861577013328
192	n_puzzle	comp_co5	pearson	two-sided	47	0.7299143795863576	[0.56 0.84]	5.83733852251675e-09	2.438e+06	0.9999892666945448
193	n_puzzle	comp_co6	pearson	two-sided	47	0.7318530243677142	[0.56 0.84]	5.078078603988844e-09	2.78e+06	0.9999905204833854
194	n_puzzle	sbst	pearson	two-sided	42	0.30295522911041955	[-0.    0.56]	0.05114913700097829	1.209	0.5052922948132372
195	n_puzzle	sri	pearson	two-sided	44	0.12983503130364524	[-0.17  0.41]	0.40090910637469024	0.264	0.1344235734073409
196	n_puzzle	gender_number	pearson	two-sided	44	-0.004649128856001369	[-0.3   0.29]	0.976105999359837	0.188	0.049747532325569055
197	n_puzzle	hand_number	pearson	two-sided	44	-0.13486671749465023	[-0.42  0.17]	0.3827459859837727	0.272	0.14139918256585804
198	n_puzzle	math_efficacy	pearson	two-sided	47	0.25306026817506927	[-0.04  0.5 ]	0.08611877989573802	0.759	0.4096620325496276
199	n_puzzle	math_anxiety	pearson	two-sided	47	0.25306026817506927	[-0.04  0.5 ]	0.08611877989573802	0.759	0.4096620325496276
200	n_puzzle	enjoyment	pearson	two-sided	47	0.30028153859152434	[0.01 0.54]	0.04028768549188414	1.399	0.545405971200302
201	p_puz_no_basic	n_complete	pearson	two-sided	47	0.809995865009685	[0.68 0.89]	5.3657645742574165e-12	1.794e+09	0.9999999873619159
202	p_puz_no_basic	n_tutorial	pearson	two-sided	47	0.5892043828215322	[0.36 0.75]	1.3176999225013083e-05	1801.42	0.9948663100859307
